Generated by http://statistics.gov.scot,2016-02-16T14:17:38+00:00,,,,,,,,,
http://statistics.gov.scot/data/energy-consumption,Energy Consumption,,,,,,,,,
measure type,,,,,,,,,,
Customer Type,,,,,,,,,,
Energy Type,,,,,,,,,,
Measure (cell values): ,Count (Gwh),,,,,,,,,
,,,,,,,,,,
,,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2005,2006,2007,2008,2009,2010,2011,2012,2013
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,29505,29427,28962.4,28310.1,27066.7,27390.7,26657.8,26177.3,25872.9
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,931,844,837.7,849,811.7,784.1,761.6,744.7,736.8
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,332,335,345.2,345.3,325.5,333,331.8,221,220.8
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,814,807,805.9,798.2,766.2,775.5,758.5,717.2,710.6
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,292,295,271.3,258.2,287.6,285,282,236,233.9
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,499,504,507.7,522.5,465.6,462.2,436.8,458.9,466.2
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,138,144,149.6,138.3,133.6,149.1,142,142,140
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,413,430,433.4,390.1,367.4,378.3,384.5,346.3,346.3
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2737,2798,2776.1,2708.9,2642.2,2613.6,2493.1,2505.8,2483.2
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,635,622,626.8,589.7,593.6,604.6,587.9,593.3,576.8
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,946,958,918.5,918.2,862.7,884.5,890.2,890.7,863.7
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,571,584,549.9,519.4,510.1,527.3,507.5,500.5,488.9
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,1398,1356,1329.1,1346.3,1307.3,1313.8,1291.7,1259,1260.6
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,847,845,851.8,829.4,831.4,829.7,790.9,773,755.3
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,631,620,625.7,609.2,581.4,579.6,559.7,556,544
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,443,465,451,409.4,409.6,404.4,396.4,339.6,349.5
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,210,207,202.9,198.5,196.6,199.1,196.2,193.5,196.5
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,545,545,553.6,544.8,541.3,530,518.8,513.8,514.1
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,982,895,969.5,872.6,907.7,941.5,905.3,897.9,882.4
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,562,752,548.8,549.5,538.9,542.2,523.4,549.2,517.9
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,313,353,319.6,338.9,324.1,339.4,303.8,343,348.2
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,3442,3405,3318.8,3369.1,2956.1,3062.4,3063.1,3097.4,3012.8
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,421,429,390.6,392.2,357,367.4,363.4,353.6,346.4
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,1564,1607,1523.7,1508,1390.4,1366.1,1344.5,1301.2,1277
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,899,892,863.8,832.7,811.7,801.4,766,728.6,727.8
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,508,512,504.6,491.7,465.7,494.1,478.6,447,443.8
http://statistics.gov.scot/id/statistical-geography/S12000013,Comhairle nan Eilean Siar,156,157,156.8,151.1,151.7,156.6,159.2,155.5,155.1
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,1362,1344,1380.3,1369.6,1346.8,1356.7,1238.8,1278.4,1261.3
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,1655,1683,1656.9,1567.5,1517.3,1507.1,1489.5,1417.7,1407.1
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,580,583,584.4,565,539.4,536.1,516.2,518.7,511.1
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,1802,1775,1793.8,1746.9,1629.8,1758.1,1696.6,1612.9,1621
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,948,957,945.9,871.1,873.9,884.7,852,835,829.2
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,1927,1864,1768.7,1709,1622.4,1623.2,1627.6,1649.8,1644.8
